MD5,TAG,FILENAMES
0757fcbf851fb9e0ce999fcb211c37e5,L,['s1-3_091-n.L.obj']
48f732fc93bfbfc9574257bfe3e5b097,M,['s1-3_091-n.M.obj']
2fafc893efcfd5b4e1a1b60a00bb17e4,T,['s1-3_091-n.T.obj']
9a83dce0ad04560248fba2404053b9a7,T,['s1-3_092-n.T.obj']
b6ef70a73bb69e9df7b91e48a7e05880,F,['s1-3_093-n.F.obj']
cb5ced2cd526604041029c9ef19d626e,L,['s1-3_093-n.L.obj']
25c20f30ec3e5be830cbc3aac8fa402b,M,['s1-3_093-n.M.obj']
b38a659bbe93dd192fb39f45e3625d3e,T,['s1-3_093-n.T.obj']
8bf90c940bab01e503e0fbc776deedb2,F,['s1-3_094-n.F.obj']
30575fcaaba482b15ae4e0f7bdcd387e,L,['s1-3_094-n.L.obj']
582df6e3d9c760d1f803d1b0994d24cd,M,['s1-3_094-n.M.obj']
16939f8783aec864e8d86f439ffa4c0e,T,['s1-3_094-n.T.obj']
7c69607c6c2ec000b7300581ba717af7,F,['s1-3_095-n.F.obj']
c62ee279b8daac3956878da838f5e85b,L,['s1-3_095-n.L.obj']
a0448c2f4b29dcef75239275bad5e0af,M,['s1-3_095-n.M.obj']
412cfd47120713a9ebb572ecc8386e2c,T,['s1-3_095-n.T.obj']
b9d35bcba9c558170ea011b0f5b4957e,F,['s1-3_096-n.F.obj']
add6a4337af1dee1cb2c464ac6700b49,L,['s1-3_096-n.L.obj']
a83d6b5119afd03dc21bd0279dcaf697,M,['s1-3_096-n.M.obj']
cc4f04721eb7a33fc68d8da9f47f2fef,T,['s1-3_096-n.T.obj']
19d88657bb6cd4382f6d12e111ab20fd,F,['s1-3_097-n.F.obj']
6ad1ac3c25b0ff1b6cf24eb4577573f9,L,['s1-3_097-n.L.obj']
a9be906872091f9417ee9d367df3c294,M,['s1-3_097-n.M.obj']
c1e312aa613c70b11e27a0ebf690b97e,T,['s1-3_097-n.T.obj']
dcd825b9d07ffb6ce1d9f63b1a2ca84e,F,['s1-3_098-n.F.obj']
2d5ed5711dd999fb472d70975c44ad1e,L,['s1-3_098-n.L.obj']
4e1929522fdcf2f13e61dbc3b553fa2c,M,['s1-3_098-n.M.obj']
a3986de2a41e2dfe3ba7106a2a2f838d,T,['s1-3_098-n.T.obj']
53cba2038b75c17f537ef0364bcb7f3c,F,['s1-3_099-n.F.obj']
f0927859e3a68a4d50decbfa4f228003,L,['s1-3_099-n.L.obj']
71a9184dd7aa4d9c3bbf5769a23e7333,M,['s1-3_099-n.M.obj']
1f17047933568992700318151725eaa7,S,['s1-3_099-n.S.obj']
1d5c75d0c544fb25af8b06c942a425f4,T,['s1-3_099-n.T.obj']
1b01a72f36bd67deee469e1faf0e1c1c,F,['s1-3_100-n.F.obj']
77dedacf04bb666c0c9af162873c22e1,M,['s1-3_100-n.M.obj']
9848476df54cb95da51cc279db54cc30,T,['s1-3_100-n.T.obj']
05213b0be5cb908329129194f60c9b00,F,['s1-3_101-n.F.obj']
da0ef4b77d2dc63f5aff0166ac282527,L,['s1-3_101-n.L.obj']
3619a792aaa23d303c1015afb7eebb90,M,['s1-3_101-n.M.obj']
a3b7e2c44560b62498fc1ae75bc4f17a,T,['s1-3_101-n.T.obj']
0b69592b2cac0e6d015e09b1bf8be16f,F,['s1-3_102-n.F.obj']
e76ace74151d245681c5f92d322a8486,L,['s1-3_102-n.L.obj']
0b16825224c2f322924b84c5bf3bcb6e,M,['s1-3_102-n.M.obj']
58c31300adcaa11b86736b7e824bd87b,T,['s1-3_102-n.T.obj']
7ee3e1638a27b0eba70bcee19ca48724,F,['s2-1_016-n.F.obj']
8c0ade392c17abfd7d2f3ba17c9b20ed,L,['s2-1_016-n.L.obj']
39956b17c622185158b600a5797920a4,M,['s2-1_016-n.M.obj']
3ff02d6adf928d157893200bf1a8104e,MW,['s2-1_016-n.MW.obj']
b28799027968700e23efd200d6587120,S,"['s2-1_016-n.S.obj', 's2-2_078-n.S.obj', 's2-2_082-n.S.obj', 's2-3_188-n.S.obj']"
c7bf52de8234d289d35d5fbac4a12887,T,['s2-1_016-n.T.obj']
a62658e2edd91564b3db8b1d39b60c45,TW,['s2-1_016-n.TW.obj']
6e7f03ab4a7c6ba2e5a94cb3f1e9c4cf,F,['s2-1_018-n.F.obj']
df78c3275c100e27fba663c8ea88d2db,L,['s2-1_018-n.L.obj']
7ca2844ee527280538c4e3166dfc4929,M,['s2-1_018-n.M.obj']
8ace9dda242a4492846ccee89edd7fb0,MW,['s2-1_018-n.MW.obj']
49047ecd62f5351e04f60526b9cf4345,S,"['s2-1_018-n.S.obj', 's2-2_076-n.S.obj', 's2-3_189-n.S.obj']"
e2435d106b67223bf2903684535744eb,T,['s2-1_018-n.T.obj']
91c3da29eaa48af9a191a111850a8d36,TW,['s2-1_018-n.TW.obj']
a87bc62b59fdcb4093bf41f6456e1e0f,F,['s2-1_020-n.F.obj']
f36d0c11e9732b2f6dbdbf6010e61b49,L,['s2-1_020-n.L.obj']
3a990964a0b7b5724352f0db85cbed27,M,['s2-1_020-n.M.obj']
5debd88417c63180840797a677924c26,MW,['s2-1_020-n.MW.obj']
0642ce0543368942d91eee8d02a791a4,S,['s2-1_020-n.S.obj']
792b9253cff1544b6e6bea6bf225d481,T,['s2-1_020-n.T.obj']
10d189b1d7ad2040e290417fddc454d6,TW,['s2-1_020-n.TW.obj']
9e5108530003cc3328c58416a93d7d22,F,['s2-1_022-n.F.obj']
f23fac08371bbe3bd14d135fc0be1304,L,['s2-1_022-n.L.obj']
b626b5e5efffb57401929aa6f2fe3195,M,['s2-1_022-n.M.obj']
d3a687488f426690afd828d3b81ff43e,MW,['s2-1_022-n.MW.obj']
f9bd201e293de6e56fd53bf86818f542,S,['s2-1_022-n.S.obj']
1186039023867321826b8f415ced8e42,T,['s2-1_022-n.T.obj']
2b985745adf9cdfba409713c36be7058,TW,['s2-1_022-n.TW.obj']
0d30c573548dae4d8a8fe70b53bb7983,F,['s2-1_024-n.F.obj']
f8f7246a348d906db4ab35b0776568b0,L,['s2-1_024-n.L.obj']
5e9cb0db73517d76a5664977c3745b05,M,['s2-1_024-n.M.obj']
abbc576c048174672bfaa91113293c77,MW,['s2-1_024-n.MW.obj']
a80dfe5a600c8909b2b28dfe99a0d749,S,"['s2-1_024-n.S.obj', 's3-1_132_1-n.S.obj']"
19bbeca217f7f3ef4fc6c1fd93274002,T,['s2-1_024-n.T.obj']
c80eaefc4a7ca6cd3f89090ce4908b25,TW,['s2-1_024-n.TW.obj']
1277225cbafef32d438fe443ee297bab,F,['s2-1_026-n.F.obj']
544c65c7a161130b331fd2f4d867f97b,L,['s2-1_026-n.L.obj']
97e34137c8b3d8180768aa51ac7a3eac,M,['s2-1_026-n.M.obj']
4124e310bc63a1514a29f87dbdde6b2f,MW,['s2-1_026-n.MW.obj']
490517ec1f693255d37cbda0b9ab2d72,S,"['s2-1_026-n.S.obj', 's2-3_192-n.S.obj']"
a3fd48f00c5e3a7dd21abdca4601473a,T,['s2-1_026-n.T.obj']
9f549506fc3334791e7454058a9dc84c,TW,['s2-1_026-n.TW.obj']
ed66747d1181723ffd0c1cac52e68965,F,['s2-1_028-n.F.obj']
a66fa9b0099759023ff5e110b898ca3d,L,['s2-1_028-n.L.obj']
581fcbe0545edfb626c89015f5a1f6cf,M,['s2-1_028-n.M.obj']
9c136330d852732264b783218bd0552c,MW,['s2-1_028-n.MW.obj']
57adc1a2c88f5fb0ee04cdf3890e3894,S,['s2-1_028-n.S.obj']
89e385c6ec020d0daa6bfba5a0c572e3,T,['s2-1_028-n.T.obj']
1b0d1b2df700975e41e69b9954836b98,TW,['s2-1_028-n.TW.obj']
